ID,Gazetteer,L1 code,L2 code,L3 code,L4 code,Kew region code,Kew region subdivision,Kew region,Synonym,Notes
1502,Namibia,2.0000000000000000e+00,2.7000000000000000e+01,NAM,NAM-OO,1.2000000000000000e+01,,South Africa,,Excluding Caprivi Strip
1503,Namonuito,6.0000000000000000e+00,6.2000000000000000e+01,CRL,CRL-MF,9.0000000000000000e+00,F,Micronesia,,
1504,Nan-sha,4.0000000000000000e+00,4.1000000000000000e+01,SCS,SCS-SI,6.0000000000000000e+00,F,South China Sea Islands,,
1506,Nansei-Shoto,3.0000000000000000e+00,3.8000000000000000e+01,NNS,NNS-OO,4.0000000000000000e+00,,Eastern Asia,,
1507,Nanumanga,6.0000000000000000e+00,6.0000000000000000e+01,TUV,TUV-OO,9.0000000000000000e+00,D,Samoan Islands,,
1508,Nanumea,6.0000000000000000e+00,6.0000000000000000e+01,TUV,TUV-OO,9.0000000000000000e+00,D,Samoan Islands,,
1509,Nanusa Is.,4.0000000000000000e+00,4.2000000000000000e+01,SUL,SUL-OO,6.0000000000000000e+00,C,Malay Islands,,
1510,Narcondom I.,4.0000000000000000e+00,4.1000000000000000e+01,AND,AND-AN,5.0000000000000000e+00,,India,,
1511,Nassau I.,6.0000000000000000e+00,6.0000000000000000e+01,TOK,TOK-MA,9.0000000000000000e+00,E,S.E. Polynesia,,[Pacific]
1512,Natal,2.0000000000000000e+00,2.7000000000000000e+01,NAT,NAT-OO,1.2000000000000000e+01,,South Africa,KwaZulu Natal,
1513,Natuna Is.,4.0000000000000000e+00,4.2000000000000000e+01,BOR,BOR-KA,6.0000000000000000e+00,C,Malay Islands,,
1514,Nauru,6.0000000000000000e+00,6.0000000000000000e+01,NRU,NRU-OO,9.0000000000000000e+00,D,Samoan Islands,,
1515,Navassa I.,8.0000000000000000e+00,8.1000000000000000e+01,HAI,HAI-NI,1.5000000000000000e+01,,West Indies,,
1516,Naxos,1.0000000000000000e+00,1.3000000000000000e+01,GRC,GRC-OO,1.0000000000000000e+00,,Europe,,one of Kikladhes
1517,Nayarit,7.0000000000000000e+00,7.9000000000000000e+01,MXS,MXS-NA,1.4000000000000000e+01,,Central America,,
1518,Ndeni I.,6.0000000000000000e+00,6.0000000000000000e+01,SCZ,SCZ-OO,9.0000000000000000e+00,A,Melanesia,,
1519,Near I.,7.0000000000000000e+00,7.0000000000000000e+01,ALU,ALU-OO,1.3000000000000000e+01,,North America,,
1520,Nebraska,7.0000000000000000e+00,7.4000000000000000e+01,NEB,NEB-OO,1.3000000000000000e+01,,North America,,
1521,Necker I.,6.0000000000000000e+00,6.3000000000000000e+01,HAW,HAW-HI,9.0000000000000000e+00,G,Hawai'ian Islands,,
1522,Negeri Sembilan,4.0000000000000000e+00,4.2000000000000000e+01,MLY,MLY-PM,6.0000000000000000e+00,A,Malay Peninsula,,
1524,Negri Sembilan,4.0000000000000000e+00,4.2000000000000000e+01,MLY,MLY-PM,6.0000000000000000e+00,A,Malay Peninsula,Negeri Sembilan,
1525,Negros,4.0000000000000000e+00,4.2000000000000000e+01,PHI,PHI-OO,6.0000000000000000e+00,D,Philippines,,
1526,Nei Mongol,3.0000000000000000e+00,3.6000000000000000e+01,CHI,CHI-NM,4.0000000000000000e+00,,Eastern Asia,,
1527,Nepal,4.0000000000000000e+00,4.0000000000000000e+01,NEP,NEP-OO,5.0000000000000000e+00,,India,,
